PURCHASEORDERID,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NOTEID,PARTNER.PARTNERID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,APPROVALSTATUS,CONFIRMSTATUS,ORDERINGSTATUS,INVOICINGSTATUS
300000251,33,2015-09-08,33,2015-09-08,,100000002,EUR,12493.73,10498.94,1994.79,P,I,S,I,I
300000252,33,2015-09-09,33,2015-09-09,,100000005,EUR,11666.69,9803.94,1862.75,N,I,I,I,I
300000253,33,2015-09-10,33,2015-09-10,,100000006,EUR,16561.23,13917,2644.23,N,I,I,I,I
300000254,33,2015-09-11,33,2015-09-11,,100000006,EUR,12515.23,10517,1998.23,C,A,S,I,D
300000255,33,2015-09-12,33,2015-09-12,,100000008,EUR,8368.08,7032,1336.08,P,A,S,I,I
300000256,33,2015-09-13,33,2015-09-13,,100000003,EUR,6146.19,5164.87,981.32,C,A,S,I,D
300000257,33,2015-09-14,33,2015-09-14,,100000004,EUR,5720.31,4806.98,913.33,P,I,S,I,I
300000258,33,2015-09-15,33,2015-09-15,,100000009,EUR,4444.17,3734.6,709.57,R,R,X,I,I
300000259,33,2015-09-16,33,2015-09-16,,100000000,EUR,3453.38,2902,551.38,R,R,X,I,I
300000260,33,2015-09-17,33,2015-09-17,,100000002,EUR,8150.94,6849.53,1301.41,N,I,I,I,I
300000261,33,2015-09-18,33,2015-09-18,,100000004,EUR,3040.41,2554.97,485.44,R,R,X,I,I
300000262,33,2015-09-19,33,2015-09-19,,100000005,EUR,18986.39,15954.94,3031.45,N,I,I,I,I
300000263,33,2015-09-20,33,2015-09-20,,100000006,EUR,23408.49,19671,3737.49,P,I,S,I,I
300000264,33,2015-09-21,33,2015-09-21,,100000006,EUR,12515.23,10517,1998.23,R,R,X,I,I
300000265,33,2015-09-22,33,2015-09-22,,100000008,EUR,9971.01,8379,1592.01,C,A,S,I,D
300000266,33,2015-09-23,33,2015-09-23,,100000004,EUR,1829.01,1536.98,292.03,C,A,S,I,D
300000267,33,2015-09-24,33,2015-09-24,,100000005,EUR,5055.11,4247.99,807.12,N,I,I,I,I
300000268,33,2015-09-25,33,2015-09-25,,100000002,EUR,2510.26,2109.47,400.79,N,I,I,I,I
300000269,33,2015-09-26,33,2015-09-26,,100000009,EUR,3974.12,3339.6,634.52,R,R,X,I,I
300000270,33,2015-09-27,33,2015-09-27,,100000000,EUR,10329.2,8680,1649.2,X,R,X,I,I
300000271,33,2015-09-28,33,2015-09-28,,100000002,EUR,2153.64,1809.78,343.86,N,I,I,I,I
300000272,33,2015-09-29,33,2015-09-29,,100000006,EUR,14276.43,11997,2279.43,P,A,S,I,I
300000273,33,2015-09-30,33,2015-09-30,,100000008,EUR,3592.61,3019,573.61,X,R,X,I,I
300000274,33,2015-10-01,33,2015-10-01,,100000005,EUR,14640.47,12302.92,2337.55,C,A,S,I,D
300000275,33,2015-10-02,33,2015-10-02,,100000003,EUR,16748.33,14074.23,2674.1,N,I,I,I,I
300000276,33,2015-10-03,33,2015-10-03,,100000003,EUR,13053.03,10968.94,2084.09,C,A,S,I,D
300000277,33,2015-10-04,33,2015-10-04,,100000003,EUR,8555.55,7189.54,1366.01,R,R,X,I,I
300000278,33,2015-10-05,33,2015-10-05,,100000008,EUR,4977.77,4183,794.77,C,A,S,I,D
300000279,33,2015-10-06,33,2015-10-06,,100000004,EUR,3180.85,2672.98,507.87,C,A,S,I,D
300000280,33,2015-10-07,33,2015-10-07,,100000006,EUR,25366.04,21316,4050.04,R,R,X,I,I
300000281,33,2015-10-08,33,2015-10-08,,100000004,EUR,3470,2915.97,554.03,X,R,X,I,I
300000282,33,2015-10-09,33,2015-10-09,,100000006,EUR,23589.37,19823,3766.37,X,R,X,I,I
300000283,33,2015-10-10,33,2015-10-10,,100000009,EUR,4444.17,3734.6,709.57,C,A,S,I,D
300000284,33,2015-10-11,33,2015-10-11,,100000000,EUR,3453.38,2902,551.38,C,A,S,I,D
300000285,33,2015-10-12,33,2015-10-12,,100000002,EUR,8150.94,6849.53,1301.41,R,R,X,I,I
300000286,33,2015-10-13,33,2015-10-13,,100000003,EUR,4372.85,3674.67,698.18,C,A,S,I,D
300000287,33,2015-10-14,33,2015-10-14,,100000005,EUR,18986.39,15954.94,3031.45,P,I,C,I,I
300000288,33,2015-10-15,33,2015-10-15,,100000006,EUR,23408.49,19671,3737.49,X,R,X,I,I
300000289,33,2015-10-16,33,2015-10-16,,100000006,EUR,12515.23,10517,1998.23,X,R,X,I,I
300000290,33,2015-10-17,33,2015-10-17,,100000008,EUR,9971.01,8379,1592.01,P,I,S,I,I
300000291,33,2015-10-18,33,2015-10-18,,100000004,EUR,1829.01,1536.98,292.03,N,I,I,I,I
300000292,33,2015-10-19,33,2015-10-19,,100000002,EUR,3772.29,3169.99,602.3,R,R,X,I,I
300000293,33,2015-10-20,33,2015-10-20,,100000005,EUR,3729.42,3133.97,595.45,C,A,S,I,D
300000294,33,2015-10-21,33,2015-10-21,,100000009,EUR,4878.64,4099.7,778.94,R,R,X,I,I
300000295,33,2015-10-22,33,2015-10-22,,100000000,EUR,9222.5,7750,1472.5,X,R,X,I,I
300000296,33,2015-10-23,33,2015-10-23,,100000002,EUR,3986.25,3349.79,636.46,P,A,S,I,I
300000297,33,2015-10-24,33,2015-10-24,,100000008,EUR,3334.38,2802,532.38,R,R,X,I,I
300000298,33,2015-10-25,33,2015-10-25,,100000006,EUR,15898.4,13360,2538.4,N,I,I,I,I
300000299,33,2015-10-26,33,2015-10-26,,100000005,EUR,14320.39,12033.94,2286.45,X,R,X,I,I
300000300,33,2015-10-27,33,2015-10-27,,100000026,EUR,19189.94,16126,3063.94,P,A,S,I,I
300000301,33,2015-10-28,33,2015-10-28,,100000025,EUR,327367.81,275099,52268.81,R,R,X,I,I
300000302,33,2015-10-29,33,2015-10-29,,100000022,EUR,21399.77,17983,3416.77,N,I,I,I,I
300000303,33,2015-10-30,33,2015-10-30,,100000024,EUR,72391.27,60833,11558.27,C,A,S,I,D
300000304,33,2015-10-31,33,2015-10-31,,100000024,EUR,125233.22,105238,19995.22,P,I,S,I,I
300000305,33,2015-11-01,33,2015-11-01,,100000021,EUR,11030.11,9269,1761.11,X,R,X,I,I
300000306,33,2015-11-02,33,2015-11-02,,100000023,EUR,35817.81,30099,5718.81,X,R,X,I,I
300000307,33,2015-11-03,33,2015-11-03,,100000019,EUR,5488.28,4612,876.28,N,I,I,I,I
300000308,33,2015-11-04,33,2015-11-04,,100000026,EUR,12195.12,10248,1947.12,P,A,C,I,I
300000309,33,2015-11-05,33,2015-11-05,,100000026,EUR,3505.74,2946,559.74,R,R,X,I,I
300000310,33,2015-11-06,33,2015-11-06,,100000025,EUR,297553.55,250045,47508.55,C,A,S,I,D
300000311,33,2015-11-07,33,2015-11-07,,100000019,EUR,2898.84,2436,462.84,X,R,X,I,I
300000312,33,2015-11-08,33,2015-11-08,,100000022,EUR,27716.29,23291,4425.29,X,R,X,I,I
300000313,33,2015-11-09,33,2015-11-09,,100000024,EUR,143791.27,120833,22958.27,C,A,S,I,D
300000314,33,2015-11-10,33,2015-11-10,,100000024,EUR,107524.83,90357,17167.83,P,A,S,I,I
300000315,33,2015-11-11,33,2015-11-11,,100000021,EUR,14147.91,11889,2258.91,N,I,I,I,I
300000316,33,2015-11-12,33,2015-11-12,,100000019,EUR,1652.91,1389,263.91,P,I,C,I,I
300000317,33,2015-11-13,33,2015-11-13,,100000022,EUR,5911.92,4968,943.92,N,I,I,I,I
300000318,33,2015-11-14,33,2015-11-14,,100000025,EUR,148792.84,125036,23756.84,X,R,X,I,I
300000319,33,2015-11-15,33,2015-11-15,,100000026,EUR,5283.6,4440,843.6,X,R,X,I,I
300000320,33,2015-11-16,33,2015-11-16,,100000026,EUR,13964.65,11735,2229.65,R,R,X,I,I
300000321,33,2015-11-17,33,2015-11-17,,100000025,EUR,119010.71,100009,19001.71,C,A,S,I,D
300000322,33,2015-11-18,33,2015-11-18,,100000024,EUR,53974.83,45357,8617.83,X,R,X,I,I
300000323,33,2015-11-19,33,2015-11-19,,100000021,EUR,7676.69,6451,1225.69,N,I,I,I,I
300000324,33,2015-11-20,33,2015-11-20,,100000022,EUR,22006.67,18493,3513.67,N,I,I,I,I
300000325,33,2015-11-21,33,2015-11-21,,100000023,EUR,66745.91,56089,10656.91,C,A,S,I,D
300000326,33,2015-11-22,33,2015-11-22,,100000023,EUR,66745.91,56089,10656.91,P,A,S,I,I
300000327,33,2015-11-23,33,2015-11-23,,100000023,EUR,42474.67,35693,6781.67,N,I,I,I,I
300000328,33,2015-11-24,33,2015-11-24,,100000021,EUR,10558.87,8873,1685.87,R,R,X,I,I
300000329,33,2015-11-25,33,2015-11-25,,100000019,EUR,3525.97,2963,562.97,X,R,X,I,I
300000330,33,2015-11-26,33,2015-11-26,,100000024,EUR,143791.27,120833,22958.27,N,I,I,I,I
300000331,33,2015-11-27,33,2015-11-27,,100000019,EUR,2801.26,2354,447.26,C,A,S,I,D
300000332,33,2015-11-28,33,2015-11-28,,100000024,EUR,143791.27,120833,22958.27,R,R,X,I,I
300000333,33,2015-11-29,33,2015-11-29,,100000026,EUR,8739.36,7344,1395.36,P,I,S,I,I
300000334,33,2015-11-30,33,2015-11-30,,100000026,EUR,6961.5,5850,1111.5,X,R,X,I,I
300000335,33,2015-12-01,33,2015-12-01,,100000025,EUR,148857.1,125090,23767.1,R,R,X,I,I
300000336,33,2015-12-02,33,2015-12-02,,100000023,EUR,24271.24,20396,3875.24,N,I,I,I,I
300000337,33,2015-12-03,33,2015-12-03,,100000022,EUR,30368.8,25520,4848.8,X,R,X,I,I
300000338,33,2015-12-04,33,2015-12-04,,100000024,EUR,126082.88,105952,20130.88,P,I,C,I,I
300000339,33,2015-12-05,33,2015-12-05,,100000024,EUR,54399.66,45714,8685.66,P,A,S,I,I
300000340,33,2015-12-06,33,2015-12-06,,100000021,EUR,15471.19,13001,2470.19,P,A,C,I,I
300000341,33,2015-12-07,33,2015-12-07,,100000019,EUR,1970.64,1656,314.64,R,R,X,I,I
300000342,33,2015-12-08,33,2015-12-08,,100000025,EUR,29771.42,25018,4753.42,R,R,X,I,I
300000343,33,2015-12-09,33,2015-12-09,,100000022,EUR,12430.74,10446,1984.74,R,R,X,I,I
300000344,33,2015-12-10,33,2015-12-10,,100000026,EUR,12186.79,10241,1945.79,C,A,S,I,D
300000345,33,2015-12-11,33,2015-12-11,,100000026,EUR,13964.65,11735,2229.65,N,I,I,I,I
300000346,33,2015-12-12,33,2015-12-12,,100000025,EUR,119010.71,100009,19001.71,P,I,S,I,I
300000347,33,2015-12-13,33,2015-12-13,,100000021,EUR,4676.7,3930,746.7,C,A,S,I,D
300000348,33,2015-12-14,33,2015-12-14,,100000024,EUR,89816.44,75476,14340.44,X,R,X,I,I
300000349,33,2015-12-15,33,2015-12-15,,100000022,EUR,30166.5,25350,4816.5,N,I,I,I,I
300000350,33,2015-12-16,33,2015-12-16,,100000012,EUR,12209.4,10260,1949.4,C,A,S,I,D
300000351,33,2015-12-17,33,2015-12-17,,100000011,EUR,8491.12,7135.4,1355.72,R,R,X,I,I
300000352,33,2015-12-18,33,2015-12-18,,100000015,EUR,2346.68,1972,374.68,X,R,X,I,I
300000353,33,2015-12-19,33,2015-12-19,,100000013,EUR,5933.58,4986.2,947.38,R,R,X,I,I
300000354,33,2015-12-20,33,2015-12-20,,100000013,EUR,5928.1,4981.6,946.5,P,A,C,I,I
300000355,33,2015-12-21,33,2015-12-21,,100000014,EUR,9080.89,7631,1449.89,C,A,S,I,D
300000356,33,2015-12-22,33,2015-12-22,,100000016,EUR,10253.04,8616,1637.04,N,I,I,I,I
300000357,33,2015-12-23,33,2015-12-23,,100000017,EUR,7275.66,6114,1161.66,N,I,I,I,I
300000358,33,2015-12-24,33,2015-12-24,,100000018,EUR,4551.75,3825,726.75,X,R,X,I,I
300000359,33,2015-12-25,33,2015-12-25,,100000012,EUR,3148.74,2646,502.74,C,A,S,I,D
300000360,33,2015-12-26,33,2015-12-26,,100000011,EUR,4955.51,4164.3,791.21,C,A,S,I,D
300000361,33,2015-12-27,33,2015-12-27,,100000017,EUR,4131.68,3472,659.68,X,R,X,I,I
300000362,33,2015-12-28,33,2015-12-28,,100000015,EUR,3420.06,2874,546.06,C,A,S,I,D
300000363,33,2015-12-29,33,2015-12-29,,100000013,EUR,9608.29,8074.2,1534.09,X,R,X,I,I
300000364,33,2015-12-30,33,2015-12-30,,100000013,EUR,6536.55,5492.9,1043.65,P,A,S,I,I
300000365,33,2015-12-31,33,2015-12-31,,100000014,EUR,10980.13,9227,1753.13,R,R,X,I,I
300000366,33,2015-01-01,33,2015-01-01,,100000017,EUR,3996.02,3358,638.02,C,A,S,I,D
300000367,33,2015-01-02,33,2015-01-02,,100000015,EUR,49.98,42,7.98,C,A,S,I,D
300000368,33,2015-01-03,33,2015-01-03,,100000011,EUR,2343.94,1969.7,374.24,R,R,X,I,I
300000369,33,2015-01-04,33,2015-01-04,,100000018,EUR,2595.39,2181,414.39,P,I,C,I,I
300000370,33,2015-01-05,33,2015-01-05,,100000012,EUR,9107.07,7653,1454.07,X,R,X,I,I
300000371,33,2015-01-06,33,2015-01-06,,100000011,EUR,1514.63,1272.8,241.83,R,R,X,I,I
300000372,33,2015-01-07,33,2015-01-07,,100000013,EUR,4288.64,3603.9,684.74,X,R,X,I,I
300000373,33,2015-01-08,33,2015-01-08,,100000014,EUR,4272.1,3590,682.1,N,I,I,I,I
300000374,33,2015-01-09,33,2015-01-09,,100000015,EUR,2446.64,2056,390.64,P,I,C,I,I
300000375,33,2015-01-10,33,2015-01-10,,100000016,EUR,19189.94,16126,3063.94,R,R,X,I,I
300000376,33,2015-01-11,33,2015-01-11,,100000016,EUR,19189.94,16126,3063.94,P,A,S,I,I
300000377,33,2015-01-12,33,2015-01-12,,100000016,EUR,12211.78,10262,1949.78,X,R,X,I,I
300000378,33,2015-01-13,33,2015-01-13,,100000014,EUR,8752.45,7355,1397.45,P,A,C,I,I
300000379,33,2015-01-14,33,2015-01-14,,100000017,EUR,2291.94,1926,365.94,X,R,X,I,I
300000380,33,2015-01-15,33,2015-01-15,,100000013,EUR,11640.81,9782.2,1858.61,P,A,C,I,I
300000381,33,2015-01-16,33,2015-01-16,,100000017,EUR,5971.42,5018,953.42,P,I,S,I,I
300000382,33,2015-01-17,33,2015-01-17,,100000013,EUR,9401.11,7900.1,1501.01,N,I,I,I,I
300000383,33,2015-01-18,33,2015-01-18,,100000018,EUR,3573.57,3003,570.57,X,R,X,I,I
300000384,33,2015-01-19,33,2015-01-19,,100000012,EUR,3148.74,2646,502.74,C,A,S,I,D
300000385,33,2015-01-20,33,2015-01-20,,100000011,EUR,7783.31,6540.6,1242.71,R,R,X,I,I
300000386,33,2015-01-21,33,2015-01-21,,100000016,EUR,6978.16,5864,1114.16,R,R,X,I,I
300000387,33,2015-01-22,33,2015-01-22,,100000015,EUR,3420.06,2874,546.06,N,I,I,I,I
300000388,33,2015-01-23,33,2015-01-23,,100000013,EUR,9608.29,8074.2,1534.09,R,R,X,I,I
300000389,33,2015-01-24,33,2015-01-24,,100000013,EUR,6536.55,5492.9,1043.65,N,I,I,I,I
300000390,33,2015-01-25,33,2015-01-25,,100000014,EUR,10980.13,9227,1753.13,R,R,X,I,I
300000391,33,2015-01-26,33,2015-01-26,,100000017,EUR,3996.02,3358,638.02,C,A,S,I,D
300000392,33,2015-01-27,33,2015-01-27,,100000011,EUR,1909.83,1604.9,304.93,X,R,X,I,I
300000393,33,2015-01-28,33,2015-01-28,,100000015,EUR,2708.44,2276,432.44,R,R,X,I,I
300000394,33,2015-01-29,33,2015-01-29,,100000018,EUR,2990.47,2513,477.47,N,I,I,I,I
300000395,33,2015-01-30,33,2015-01-30,,100000012,EUR,9399.81,7899,1500.81,C,A,S,I,D
300000396,33,2015-01-31,33,2015-01-31,,100000011,EUR,2191.74,1841.8,349.94,R,R,X,I,I
300000397,33,2015-02-01,33,2015-02-01,,100000014,EUR,6379.59,5361,1018.59,N,I,I,I,I
300000398,33,2015-02-02,33,2015-02-02,,100000013,EUR,4704.66,3953.5,751.16,P,A,C,I,I
300000399,33,2015-02-03,33,2015-02-03,,100000015,EUR,3320.1,2790,530.1,N,I,I,I,I
300000400,33,2015-02-04,33,2015-02-04,,100000028,EUR,11951.17,10043,1908.17,P,A,C,I,I
300000401,33,2015-02-05,33,2015-02-05,,100000030,EUR,19844.44,16676,3168.44,C,A,S,I,D
300000402,33,2015-02-06,33,2015-02-06,,100000031,EUR,6676.5,5610.5,1066,X,R,X,I,I
300000403,33,2015-02-07,33,2015-02-07,,100000032,EUR,4589.84,3857,732.84,R,R,X,I,I
300000404,33,2015-02-08,33,2015-02-08,,100000032,EUR,1335.78,1122.5,213.28,N,I,I,I,I
300000405,33,2015-02-09,33,2015-02-09,,100000033,EUR,1552.36,1304.5,247.86,X,R,X,I,I
300000406,33,2015-02-10,33,2015-02-10,,100000034,EUR,5854.8,4920,934.8,N,I,I,I,I
300000407,33,2015-02-11,33,2015-02-11,,100000035,EUR,1123.71,944.3,179.41,N,I,I,I,I
300000408,33,2015-02-12,33,2015-02-12,,100000027,EUR,7225.68,6072,1153.68,X,R,X,I,I
300000409,33,2015-02-13,33,2015-02-13,,100000028,EUR,4312.56,3624,688.56,X,R,X,I,I
300000410,33,2015-02-14,33,2015-02-14,,100000030,EUR,9174.9,7710,1464.9,C,A,S,I,D
300000411,33,2015-02-15,33,2015-02-15,,100000035,EUR,604.04,507.6,96.44,X,R,X,I,I
300000412,33,2015-02-16,33,2015-02-16,,100000031,EUR,9534.88,8012.5,1522.38,P,I,S,I,I
300000413,33,2015-02-17,33,2015-02-17,,100000032,EUR,4606.5,3871,735.5,C,A,S,I,D
300000414,33,2015-02-18,33,2015-02-18,,100000032,EUR,1984.93,1668,316.93,C,A,S,I,D
300000415,33,2015-02-19,33,2015-02-19,,100000033,EUR,1941.5,1631.5,310,R,R,X,I,I
300000416,33,2015-02-20,33,2015-02-20,,100000035,EUR,404.12,339.6,64.52,R,R,X,I,I
300000417,33,2015-02-21,33,2015-02-21,,100000031,EUR,956.76,804,152.76,N,I,I,I,I
300000418,33,2015-02-22,33,2015-02-22,,100000030,EUR,7247.1,6090,1157.1,C,A,S,I,D
300000419,33,2015-02-23,33,2015-02-23,,100000027,EUR,12880.56,10824,2056.56,R,R,X,I,I
300000420,33,2015-02-24,33,2015-02-24,,100000028,EUR,9761.57,8203,1558.57,C,A,S,I,D
300000421,33,2015-02-25,33,2015-02-25,,100000030,EUR,1896.86,1594,302.86,N,I,I,I,I
300000422,33,2015-02-26,33,2015-02-26,,100000032,EUR,1972.43,1657.5,314.93,X,R,X,I,I
300000423,33,2015-02-27,33,2015-02-27,,100000033,EUR,782.43,657.5,124.93,N,I,I,I,I
300000424,33,2015-02-28,33,2015-02-28,,100000031,EUR,9528.94,8007.5,1521.44,P,I,S,I,I
300000425,33,2015-02-28,33,2015-02-28,,100000034,EUR,12042.8,10120,1922.8,R,R,X,I,I
300000426,33,2015-03-01,33,2015-03-01,,100000034,EUR,12042.8,10120,1922.8,C,A,S,I,D
300000427,33,2015-03-02,33,2015-03-02,,100000034,EUR,7663.6,6440,1223.6,P,I,S,I,I
300000428,33,2015-03-03,33,2015-03-03,,100000033,EUR,790.77,664.5,126.27,R,R,X,I,I
300000429,33,2015-03-04,33,2015-03-04,,100000035,EUR,635.22,533.8,101.42,C,A,S,I,D
300000430,33,2015-03-05,33,2015-03-05,,100000032,EUR,4606.5,3871,735.5,N,I,I,I,I
300000431,33,2015-03-06,33,2015-03-06,,100000035,EUR,484.21,406.9,77.31,N,I,I,I,I
300000432,33,2015-03-07,33,2015-03-07,,100000032,EUR,4606.5,3871,735.5,R,R,X,I,I
300000433,33,2015-03-08,33,2015-03-08,,100000027,EUR,10053.12,8448,1605.12,P,A,S,I,I
300000434,33,2015-03-09,33,2015-03-09,,100000028,EUR,2206.26,1854,352.26,C,A,S,I,D
300000435,33,2015-03-10,33,2015-03-10,,100000030,EUR,17885.7,15030,2855.7,P,I,C,I,I
300000436,33,2015-03-11,33,2015-03-11,,100000034,EUR,4379.2,3680,699.2,X,R,X,I,I
300000437,33,2015-03-12,33,2015-03-12,,100000031,EUR,8587.05,7216,1371.05,P,I,S,I,I
300000438,33,2015-03-13,33,2015-03-13,,100000032,EUR,5255.64,4416.5,839.14,R,R,X,I,I
300000439,33,2015-03-14,33,2015-03-14,,100000032,EUR,3932.37,3304.5,627.87,R,R,X,I,I
300000440,33,2015-03-15,33,2015-03-15,,100000033,EUR,1755.26,1475,280.26,R,R,X,I,I
300000441,33,2015-03-16,33,2015-03-16,,100000035,EUR,350.93,294.9,56.03,N,I,I,I,I
300000442,33,2015-03-17,33,2015-03-17,,100000030,EUR,3577.14,3006,571.14,R,R,X,I,I
300000443,33,2015-03-18,33,2015-03-18,,100000031,EUR,4765.96,4005,760.96,P,A,C,I,I
300000444,33,2015-03-19,33,2015-03-19,,100000027,EUR,5798.87,4873,925.87,N,I,I,I,I
300000445,33,2015-03-20,33,2015-03-20,,100000028,EUR,9761.57,8203,1558.57,N,I,I,I,I
300000446,33,2015-03-21,33,2015-03-21,,100000030,EUR,1896.86,1594,302.86,N,I,I,I,I
300000447,33,2015-03-22,33,2015-03-22,,100000033,EUR,583.7,490.5,93.2,P,A,C,I,I
300000448,33,2015-03-23,33,2015-03-23,,100000032,EUR,2634.07,2213.5,420.57,C,A,S,I,D
300000449,33,2015-03-24,33,2015-03-24,,100000031,EUR,7636.24,6417,1219.24,P,I,S,I,I
300000450,33,2015-03-25,33,2015-03-25,,100000044,EUR,11689.24,9822.89,1866.35,C,A,S,I,D
300000451,33,2015-03-26,33,2015-03-26,,100000036,EUR,4983.37,4187.7,795.67,C,A,S,I,D
300000452,33,2015-03-27,33,2015-03-27,,100000038,EUR,724.71,609,115.71,X,R,X,I,I
300000453,33,2015-03-28,33,2015-03-28,,100000037,EUR,1872.82,1573.8,299.02,C,A,S,I,D
300000454,33,2015-03-29,33,2015-03-29,,100000037,EUR,1240.46,1042.4,198.06,P,I,C,I,I
300000455,33,2015-03-30,33,2015-03-30,,100000042,EUR,12794.88,10752,2042.88,X,R,X,I,I
300000456,33,2015-03-31,33,2015-03-31,,100000044,EUR,1294.71,1087.99,206.72,C,A,S,I,D
300000457,33,2015-04-01,33,2015-04-01,,100000041,EUR,2645.37,2223,422.37,P,A,C,I,I
300000458,33,2015-04-02,33,2015-04-02,,100000043,EUR,16526.72,13888,2638.72,R,R,X,I,I
300000459,33,2015-04-03,33,2015-04-03,,100000044,EUR,4157.82,3493.96,663.86,C,A,S,I,D
300000460,33,2015-04-04,33,2015-04-04,,100000036,EUR,2751.29,2312,439.29,N,I,I,I,I
300000461,33,2015-04-05,33,2015-04-05,,100000041,EUR,1423.24,1196,227.24,C,A,S,I,D
300000462,33,2015-04-06,33,2015-04-06,,100000038,EUR,1006.74,846,160.74,X,R,X,I,I
300000463,33,2015-04-07,33,2015-04-07,,100000037,EUR,2354.54,1978.6,375.94,N,I,I,I,I
300000464,33,2015-04-08,33,2015-04-08,,100000037,EUR,1318.76,1108.2,210.56,X,R,X,I,I
300000465,33,2015-04-09,33,2015-04-09,,100000042,EUR,16148.3,13570,2578.3,C,A,S,I,D
300000466,33,2015-04-10,33,2015-04-10,,100000041,EUR,959.14,806,153.14,R,R,X,I,I
300000467,33,2015-04-11,33,2015-04-11,,100000038,EUR,132.09,111,21.09,P,A,C,I,I
300000468,33,2015-04-12,33,2015-04-12,,100000036,EUR,1909.36,1604.5,304.86,C,A,S,I,D
300000469,33,2015-04-13,33,2015-04-13,,100000043,EUR,12623.52,10608,2015.52,C,A,S,I,D
300000470,33,2015-04-14,33,2015-04-14,,100000044,EUR,9517.53,7997.91,1519.62,R,R,X,I,I
300000471,33,2015-04-15,33,2015-04-15,,100000036,EUR,744.71,625.8,118.91,X,R,X,I,I
300000472,33,2015-04-16,33,2015-04-16,,100000037,EUR,957.47,804.6,152.87,R,R,X,I,I
300000473,33,2015-04-17,33,2015-04-17,,100000042,EUR,7325.64,6156,1169.64,N,I,I,I,I
300000474,33,2015-04-18,33,2015-04-18,,100000038,EUR,949.62,798,151.62,C,A,S,I,D
300000475,33,2015-04-19,33,2015-04-19,,100000044,EUR,11689.25,9822.89,1866.36,N,I,I,I,I
300000476,33,2015-04-20,33,2015-04-20,,100000044,EUR,11689.24,9822.89,1866.35,P,A,S,I,I
300000477,33,2015-04-21,33,2015-04-21,,100000044,EUR,7438.62,6250.93,1187.69,X,R,X,I,I
300000478,33,2015-04-22,33,2015-04-22,,100000042,EUR,8563.24,7196,1367.24,C,A,S,I,D
300000479,33,2015-04-23,33,2015-04-23,,100000041,EUR,1485.12,1248,237.12,P,A,C,I,I
300000480,33,2015-04-24,33,2015-04-24,,100000037,EUR,2354.54,1978.6,375.94,N,I,I,I,I
300000481,33,2015-04-25,33,2015-04-25,,100000041,EUR,1129.31,949,180.31,N,I,I,I,I
300000482,33,2015-04-26,33,2015-04-26,,100000037,EUR,2354.54,1978.6,375.94,C,A,S,I,D
300000483,33,2015-04-27,33,2015-04-27,,100000043,EUR,14575.12,12248,2327.12,X,R,X,I,I
300000484,33,2015-04-28,33,2015-04-28,,100000044,EUR,2218.14,1863.98,354.16,C,A,S,I,D
300000485,33,2015-04-29,33,2015-04-29,,100000036,EUR,4044.22,3398.5,645.72,X,R,X,I,I
300000486,33,2015-04-30,33,2015-04-30,,100000044,EUR,4250.63,3571.96,678.67,N,I,I,I,I
300000487,33,2015-05-01,33,2015-05-01,,100000038,EUR,960.33,807,153.33,N,I,I,I,I
300000488,33,2015-05-02,33,2015-05-02,,100000037,EUR,2432.84,2044.4,388.44,N,I,I,I,I
300000489,33,2015-05-03,33,2015-05-03,,100000037,EUR,1553.67,1305.6,248.07,R,R,X,I,I
300000490,33,2015-05-04,33,2015-05-04,,100000042,EUR,15709.19,13201,2508.19,C,A,S,I,D
300000491,33,2015-05-05,33,2015-05-05,,100000041,EUR,819.91,689,130.91,R,R,X,I,I
300000492,33,2015-05-06,33,2015-05-06,,100000036,EUR,808.84,679.7,129.14,X,R,X,I,I
300000493,33,2015-05-07,33,2015-05-07,,100000038,EUR,489.09,411,78.09,R,R,X,I,I
300000494,33,2015-05-08,33,2015-05-08,,100000043,EUR,15718.71,13209,2509.71,N,I,I,I,I
300000495,33,2015-05-09,33,2015-05-09,,100000044,EUR,9517.53,7997.91,1519.62,R,R,X,I,I
300000496,33,2015-05-10,33,2015-05-10,,100000036,EUR,744.71,625.8,118.91,C,A,S,I,D
300000497,33,2015-05-11,33,2015-05-11,,100000042,EUR,5030.13,4227,803.13,C,A,S,I,D
300000498,33,2015-05-12,33,2015-05-12,,100000037,EUR,1397.06,1174,223.06,P,I,C,I,I
300000499,33,2015-05-13,33,2015-05-13,,100000038,EUR,885.36,744,141.36,N,I,I,I,I
300000500,33,2015-05-14,33,2015-05-14,,100000000,EUR,13224.47,11113,2111.47,X,R,X,I,I
300000501,33,2015-05-15,33,2015-05-15,,100000002,EUR,12493.73,10498.94,1994.79,C,A,S,I,D
300000502,33,2015-05-16,33,2015-05-16,,100000005,EUR,11666.69,9803.94,1862.75,N,I,I,I,I
300000503,33,2015-05-17,33,2015-05-17,,100000006,EUR,16561.23,13917,2644.23,R,R,X,I,I
300000504,33,2015-05-18,33,2015-05-18,,100000006,EUR,12515.23,10517,1998.23,X,R,X,I,I
300000505,33,2015-05-19,33,2015-05-19,,100000008,EUR,8368.08,7032,1336.08,P,I,C,I,I
